Date,Close,Open,High,Low,Volume
2018-12-11,13215.20,13232.80,13285.60,13074.50,7680000
2018-12-12,11825.10,11789.90,11877.90,11613.90,9810000
2018-12-13,11965.90,11913.10,12001.10,11860.30,150000
2018-12-14,11789.90,11948.30,11948.30,11754.70,10580000
2018-12-17,11402.80,11789.90,11789.90,11402.80,12270000
2018-12-18,10945.30,11156.40,11279.60,10786.90,22340000
2018-12-19,10452.50,10945.30,11050.80,10206.20,30030000
2018-12-20,10540.50,10417.30,10610.90,10311.80,1670000
2018-12-21,10540.50,10311.80,10558.10,10311.80,12210000
2018-12-24,10734.10,10540.50,10734.10,10540.50,8930000
2018-12-25,10698.90,10434.90,10698.90,10188.60,13140000
2018-12-26,10663.70,10698.90,10698.90,10470.10,10480000
2018-12-27,10892.50,10857.30,10945.30,10663.70,13340000
2018-12-28,10892.50,10839.70,10892.50,10734.10,20460000
2019-01-02,9607.90,9801.50,9924.60,9502.30,19440000
2019-01-03,12053.90,11825.10,12053.90,11825.10,12620000
2019-01-04,11244.40,11279.60,11332.40,11226.80,10050000
2019-01-07,10522.90,10614.40,10660.20,10431.40,8080000
2019-01-08,10339.90,10294.20,10408.50,10179.80,12530000
2019-01-10,10019.70,10042.50,10156.90,9996.80,8560000
2019-01-11,10019.70,10019.70,10111.20,9973.90,8550000
2019-01-14,10311.80,10347.00,10364.60,10153.40,8830000
2019-01-15,10311.80,10311.80,10417.30,10259.00,7230000
2019-01-16,10364.60,10347.00,10434.90,10259.00,8160000
2019-01-17,10171.00,10364.60,10364.60,10171.00,5360000
2019-01-18,10276.60,10311.80,10364.60,10259.00,5810000
2019-01-21,10399.70,10311.80,10470.10,10276.60,5250000
2019-01-22,10382.20,10452.50,10505.30,10364.60,4560000
2019-01-23,10575.70,10347.00,10698.90,10329.40,10370000
2019-01-24,10505.30,10593.30,10698.90,10505.30,6540000
2019-01-25,10452.50,10558.10,10593.30,10399.70,4410000
2019-01-28,10470.10,10487.70,10487.70,10417.30,4690000
2019-01-29,10452.50,10505.30,10505.30,10382.20,4970000
2019-01-30,10206.20,10417.30,10417.30,10153.40,18520000
2019-01-31,9748.70,10206.20,10259.00,9713.50,19630000
2019-02-01,10839.70,10874.90,11068.40,10839.70,11490000
2019-02-04,11297.20,11332.40,11350.00,11244.40,4920000
2019-02-05,11965.90,11860.30,11965.90,11719.50,10420000
2019-02-07,10339.90,10522.90,10522.90,10317.00,10060000
2019-02-08,10271.30,10156.90,10317.00,10111.20,15040000
2019-02-10,9951.00,10065.40,10088.30,9928.10,9190000
2019-02-12,10500.00,10454.30,10614.40,10454.30,19160000
2019-02-13,10874.90,10382.20,10945.30,10382.20,30330000
2019-02-14,10910.10,10874.90,11015.60,10839.70,17670000
2019-02-15,11121.20,10910.10,11438.00,10839.70,25530000
2019-02-18,11314.80,11297.20,11455.60,11244.40,17450000
2019-02-19,11156.40,11420.40,11438.00,11138.80,16170000
2019-02-20,11332.40,11156.40,11367.60,11138.80,16090000
2019-02-21,11508.40,11367.60,11508.40,11226.80,16450000
2019-02-22,11930.70,11490.80,11948.30,11455.60,22640000
2019-02-25,12247.40,12124.20,12511.40,12036.30,32260000
2019-02-26,12141.80,12247.40,12458.60,12053.90,20210000
2019-02-27,12106.60,12300.20,12300.20,12018.70,13690000
2019-02-28,11825.10,12159.40,12177.00,11825.10,19040000
2019-03-01,10382.20,10822.10,10874.90,10382.20,18830000
2019-03-04,11297.20,11262.00,11314.80,11226.80,10340000
2019-03-05,12018.70,11965.90,12106.60,11860.30,9570000
2019-03-06,11086.00,11279.60,11297.20,11050.80,33610000
2019-03-07,10134.00,10339.90,10362.80,10111.20,1330000
2019-03-09,9905.30,10156.90,10202.70,9905.30,11320000
2019-03-10,9859.50,9928.10,9928.10,9813.80,960000
2019-03-12,10728.80,10500.00,10843.20,10385.70,19650000
2019-03-13,12089.00,11965.90,12089.00,11930.70,8760000
2019-03-14,12036.30,12089.00,12194.60,11930.70,12270000
2019-03-15,11226.80,11613.90,11649.10,11209.20,46620000
2019-03-18,11209.20,11086.00,11402.80,10751.70,28960000
2019-03-19,11226.80,11191.60,11244.40,10945.30,20220000
2019-03-20,11367.60,11086.00,11473.20,11086.00,1540000
2019-03-21,11262.00,11367.60,11420.40,11244.40,750000
2019-03-22,11244.40,11297.20,11332.40,11209.20,11480000
2019-03-25,11050.80,10945.30,11138.80,10945.30,10230000
2019-03-26,11121.20,11121.20,11174.00,11015.60,9630000
2019-03-27,11385.20,11226.80,11385.20,11138.80,6950000
2019-03-28,11420.40,11314.80,11420.40,11297.20,6880000
2019-03-29,11332.40,11455.60,11508.40,11226.80,17890000
2019-04-01,10452.50,10347.00,10558.10,10100.60,15990000
2019-04-03,12441.00,12229.80,12441.00,12212.20,13740000
2019-04-04,11402.80,11314.80,11402.80,11262.00,7570000
2019-04-06,11117.70,11255.00,11346.50,11003.30,7030000
2019-04-07,10202.70,10065.40,10294.20,10065.40,10650000
2019-04-09,9882.40,9836.60,9973.90,9836.60,12320000
2019-04-10,9768.00,9882.40,9928.10,9745.10,10060000
2019-04-11,9951.00,10111.20,10156.90,9928.10,12720000
2019-04-12,10728.80,10705.90,10797.40,10683.10,10350000
2019-04-16,11174.00,11226.80,11262.00,11103.60,4230000
2019-04-17,11121.20,11174.00,11209.20,11086.00,5090000
2019-04-18,11015.60,11050.80,11103.60,11015.60,6540000
2019-04-19,11121.20,11033.20,11156.40,11033.20,3320000
2019-04-22,11209.20,11033.20,11297.20,11033.20,4990000
2019-04-23,11226.80,11262.00,11262.00,11209.20,4620000
2019-04-24,11737.10,11262.00,11737.10,11226.80,15880000
2019-04-25,11649.10,11789.90,11842.70,11613.90,11210000
2019-04-26,11825.10,11684.30,11895.50,11649.10,7720000
2019-05-03,12335.40,12353.00,12529.00,12300.20,15620000
2019-05-04,11438.00,11402.80,11490.80,11350.00,5030000
2019-05-06,10888.90,11163.40,11300.70,10843.20,6290000
2019-05-07,10202.70,10202.70,10271.30,10134.00,6460000
2019-05-08,10134.00,10225.50,10294.20,10065.40,12980000
2019-05-09,9928.10,9905.30,10042.50,9882.40,5220000
2019-05-11,10019.70,9973.90,10134.00,9951.00,11620000
2019-05-12,10568.70,10683.10,10728.80,10545.80,10910000
2019-05-13,11279.60,11596.30,11596.30,11262.00,10430000
2019-05-14,11402.80,11156.40,11402.80,11156.40,4980000
2019-05-15,11402.80,11402.80,11508.40,11367.60,6950000
2019-05-16,11367.60,11420.40,11508.40,11367.60,3770000
2019-05-17,11350.00,11367.60,11402.80,11332.40,4080000
2019-05-20,11543.50,11350.00,11631.50,11350.00,6070000
2019-05-21,11578.70,11596.30,11684.30,11543.50,5880000
2019-05-22,11613.90,11613.90,11754.70,11578.70,6880000
2019-05-23,11525.90,11613.90,11631.50,11490.80,6940000
2019-05-24,11314.80,11438.00,11490.80,11314.80,10040000
2019-05-27,11332.40,11297.20,11385.20,11297.20,4650000
2019-05-28,11279.60,11438.00,11438.00,11279.60,7770000
2019-05-29,11438.00,11367.60,11438.00,11279.60,4550000
2019-05-30,11262.00,11438.00,11438.00,11244.40,11480000
2019-05-31,11297.20,11262.00,11332.40,11262.00,9290000
2019-06-03,12317.80,12317.80,12388.20,12106.60,9240000
2019-06-05,11772.30,11754.70,11895.50,11684.30,12320000
2019-06-06,10385.70,10934.70,10934.70,10225.50,14920000
